,genotype,plot_ID,SITE,line,location,BIOMASS,AREA,SLA,FRESH,DRY,RWC,OP,MDWP,TC,SC,ETSC,Population,subpopulation,Group,LATITIUDE,LONGITUDE,RAWREADCOUNT,FILTEREDREADCOUNT,COUNTMAPPED,PERCENTMAPPED
PD1-11,ARB,K1306,KINGS,ARB.1.G2,CenTex,105.59,11.23,200.8944544,0.1747,0.0559,80.10788941,577,19,387,110,42570,HAL_I,NA,HAL_I_KINGS,34.429833,-97.146683,5993927,4671035,1994506,42.7
PD1-12,ARB,K1311,KINGS,ARB.1.G2,CenTex,121.19,11.6,176.8292683,0.1911,0.0656,88.88101983,596,17,374,97.5,36465,HAL_I,NA,HAL_I_KINGS,34.429833,-97.146683,6008890,4979122,2308591,46.4
PD1-13,ARB,K2609,KINGS,ARB.1.G2,CenTex,158.59,9.8,173.7588652,0.1516,0.0564,83.36252189,642,23,309,122.5,37852.5,HAL_I,NA,HAL_I_KINGS,34.429833,-97.146683,5469156,4527578,2683846,59.3
PD1-14,BBF,K1417,KINGS,BBF.5.G1,TexMex,48.19,7.51,222.1893491,0.0958,0.0338,81.04575163,478,18,120,103.5,12420,HAL_II,HAL_II_II,HAL_II_KINGS,29.2736167,-103.3375,5167023,3778562,1841704,48.7
PD1-15,BBF,K1907,KINGS,BBF.5.G1,TexMex,56.29,3.25,198.1707317,0.0421,0.0164,68.71657754,552,23,381,147,56007,HAL_II,HAL_II_II,HAL_II_KINGS,29.2736167,-103.3375,5556185,4711679,2386591,50.7
PD1-16,BBF,K2205,KINGS,BBF.5.G1,TexMex,52.99,6.33,196.5838509,0.0948,0.0322,87.79803647,595,17,143,160.5,22951.5,HAL_II,HAL_II_II,HAL_II_KINGS,29.2736167,-103.3375,4856042,4054917,2168160,53.5
PD1-17,BEE,K1401,KINGS,BEE.1A.G3,Sym,106.69,13.93,196.4739069,0.1997,0.0709,92.3297491,572,13,230,275.5,63365,HAL_II,HAL_II_I,HAL_II_KINGS,28.382778,-97.779167,5192687,4152009,2265299,54.6
PD1-18,BEE,K2211,KINGS,BEE.1A.G3,Sym,182.4,8.67,247.7142857,0.1059,0.035,90.54916986,670,22,281,260.5,73200.5,HAL_II,HAL_II_I,HAL_II_KINGS,28.382778,-97.779167,6413420,5384041,3083064,57.3
PD1-19,BEE,K2513,KINGS,BEE.1A.G3,Sym,145.39,13.17,191.1465893,0.1779,0.0689,92.92412617,600,19.5,413,193.5,79915.5,HAL_II,HAL_II_I,HAL_II_KINGS,28.382778,-97.779167,6540181,5383026,3030482,56.3
PD1-21,ARB,B1133,BFL,ARB.1.G2,CenTex,76.09,8.3,221.3333333,0.1174,0.0375,98.76390606,419,11.5,150,96,14400,HAL_I,NA,HAL_I_BFL,34.429833,-97.146683,6300659,5218290,2879302,55.2
PD1-22,ARB,B1402,BFL,ARB.1.G2,CenTex,48.89,7.93,212.0320856,0.1152,0.0374,96.52605459,441,9,202,77.5,15655,HAL_I,NA,HAL_I_BFL,34.429833,-97.146683,6336611,5221533,2651044,50.8
PD1-23,ARB,B1416,BFL,ARB.1.G2,CenTex,175.89,8.03,223.6768802,0.1098,0.0359,93.19041614,455,11.5,292,63,18396,HAL_I,NA,HAL_I_BFL,34.429833,-97.146683,6138221,5172860,2780801,53.8
PD1-24,BBF,B1114,BFL,BBF.5.G1,TexMex,18.79,5.55,231.25,0.0763,0.024,95.61243144,399,11,72,107.5,7740,HAL_II,HAL_II_II,HAL_II_BFL,29.2736167,-103.3375,6418878,5413475,2839971,52.5
PD1-25,BBF,B1303,BFL,BBF.5.G1,TexMex,38.29,5.46,212.4513619,0.0736,0.0257,91.06463878,407,12.5,148,92.5,13690,HAL_II,HAL_II_II,HAL_II_BFL,29.2736167,-103.3375,6103285,5015231,2855810,56.9
PD1-26,BBF,B1406,BFL,BBF.5.G1,TexMex,37.99,6.08,222.7106227,0.0882,0.0273,95.90551181,493,13.5,134,102.5,13735,HAL_II,HAL_II_II,HAL_II_BFL,29.2736167,-103.3375,7405035,6111733,3943089,64.5
PD1-27,BEE,B1127,BFL,BEE.1A.G3,Sym,155.89,8.55,206.5217391,0.1089,0.0414,89.28571429,458,14.5,183,200.5,36691.5,HAL_II,HAL_II_I,HAL_II_BFL,28.382778,-97.779167,6664334,5428065,3394270,62.5
PD1-28,BEE,B1205,BFL,BEE.1A.G3,Sym,106.5,12.24,172.1518987,0.1912,0.0711,97.48376623,440,9.5,188,169.5,31866,HAL_II,HAL_II_I,HAL_II_BFL,28.382778,-97.779167,6882199,5753691,2953932,51.3
PD1-29,BEE,B1307,BFL,BEE.1A.G3,Sym,87.3,13.73,207.7155825,0.2044,0.0661,91.71087533,345,10.5,207,115,23805,HAL_II,HAL_II_I,HAL_II_BFL,28.382778,-97.779167,6180065,5101062,3009323,59
PD10-1,ABI,B1006,BFL,ABI.1.G3,CenTex,35.59,4.95,248.7437186,0.0613,0.0199,92.41071429,414,11.5,244,34.5,8418,HAL_I,HAL_I_I,HAL_I_BFL,31.85987,-99.44224,7007927,3633047,1746501,48.1
PD10-10,BBD,B1118,BFL,BBD.5.G1,TexMex,135.69,6.75,214.9681529,0.0914,0.0314,94.78672986,345,10.5,217,113.5,24629.5,HAL_II,HAL_II_II,HAL_II_BFL,29.6235361,-103.116225,7562780,4172039,2109259,50.6
PD10-11,BEX,B1125,BFL,BEX.14.G1,CenTex,147.69,9.08,221.4634146,0.1277,0.041,94.85776805,403,12,220,175.5,38610,HAL_I,HAL_I_I,HAL_I_BFL,29.72139,-98.354249,7550802,4065733,2250574,55.4
PD10-13,ALI,B1135,BFL,ALI.4.G1,West,NA,3.66,259.5744681,0.0524,0.0141,96.23115578,408,13,NA,101.5,NA,HAL_I,HAL_I_II,HAL_I_BFL,35.57391,-101.70107,7071964,3904340,2161703,55.4
PD10-14,ARA,B1140,BFL,ARA.1.G1,Filipes,92.7,14.07,194.0689655,0.2126,0.0725,91.0923277,441,13.5,119,689,81991,FIL,FIL_II,FIL_BFL,28.2236667,-96.987,7533265,4160241,2085999,50.1
PD10-15,CCL,B1202,BFL,CCL.1.F,West,8.89,6.11,225.4612546,0.08,0.0271,91.84027778,332,13,91,99,9009,HAL_I,HAL_I_II,HAL_I_BFL,34.44411,-101.07511,7079346,3932909,2172973,55.3
PD10-16,ART,B1210,BFL,ART.1.G2,West,49.99,8.28,237.9310345,0.1186,0.0348,94.68926554,420,14,118,106.5,12567,HAL_I,HAL_I_II,HAL_I_BFL,32.856733,-104.931567,7855494,4336410,2288971,52.8
PD10-17,ATA,B1220,BFL,ATA.1.G1,TexMex,226.8,3.93,247.1698113,0.0413,0.0159,81.41025641,514,18,669,169,113061,HAL_II,HAL_II_I,HAL_II_BFL,28.7897,-98.5413167,6835371,3871981,2111092,54.5
PD10-18,ART,B1224,BFL,ART.1.G2,West,62.79,5.7,261.4678899,0.0835,0.0218,92.22720478,499,14.5,207,NA,NA,HAL_I,HAL_I_II,HAL_I_BFL,32.856733,-104.931567,7916547,4526512,2407209,53.2
PD10-19,ARR,B1225,BFL,ARR.1A.G2,West,198.19,6.86,178.1818182,0.1071,0.0385,94.75138122,523,18,557,99.5,55421.5,HAL_I,HAL_I_II,HAL_I_BFL,31.61339,-110.50628,7278725,4062395,2191973,54
PD10-2,AWR,B1012,BFL,AWR.1.G1,Filipes,129.39,8.92,226.9720102,0.1215,0.0393,96.70588235,385,12,170,422,71740,FIL,FIL_I,FIL_BFL,28.285083,-96.945733,7283107,3994669,1949532,48.8
PD10-20,CNF,B1230,BFL,CNF.2.G1,West,148.99,9.14,207.7272727,0.107,0.044,72,497,20,295,109.5,32302.5,HAL_I,HAL_I_II,HAL_I_BFL,31.8020583,-110.9152417,6862210,3832077,2005560,52.3
PD10-21,ARR,B1239,BFL,ARR.1A.G2,West,17.99,8.39,193.7644342,0.1175,0.0433,88.12351544,544,15,149,71,10579,HAL_I,HAL_I_II,HAL_I_BFL,31.61339,-110.50628,7410346,4115808,2362464,57.4
PD10-22,CCO,B1302,BFL,CCO.2.F,West,8.99,4.45,214.9758454,0.0578,0.0207,90.2676399,377,10,101,69.5,7019.5,HAL_I,HAL_I_II,HAL_I_BFL,34.43787,-101.05611,6404753,3508417,1671329,47.6
PD10-23,BAN,B1309,BFL,BAN.17.G1,CenTex,58.5,3.82,217.0454545,0.0537,0.0176,87.83454988,402,15,268,90,24120,HAL_I,HAL_I_I,HAL_I_BFL,29.847301,-99.573411,5820621,3212099,1851490,57.6
PD10-24,BUS,B1317,BFL,BUS.3.G1,West,132.5,9.05,195.8874459,0.139,0.0462,85.92592593,413,15,419,149.5,62640.5,HAL_I,HAL_I_II,HAL_I_BFL,35.26486,-102.06054,6684670,3804365,1921157,50.5
PD10-25,BEX,B1320,BFL,BEX.14.G1,CenTex,204.89,8.76,199.5444191,0.1359,0.0439,90.10773751,410,14.5,487,157.5,76702.5,HAL_I,HAL_I_I,HAL_I_BFL,29.72139,-98.354249,6860303,3966621,2213650,55.8
PD10-26,CAM,B1324,BFL,CAM.1.G1,Filipes,838,24.03,203.2994924,0.3862,0.1182,92.63740062,411,12.5,508,1062.5,539750,FIL,FIL_II,FIL_BFL,26.0007,-97.26905,6744456,3868867,2340536,60.5
