plot_ID,SITE,line,genotype,location,lib_ID,BIOMASS,TC,AREA,SLA,FRESH,DRY,RWC,OP,MDWP,Group,Population
B1001,BFL,PIN.1.G2,PIN1,West,PD25-1,NA,19,3.68,235.8974359,0.0493,0.0156,92.83746556,416,9.5,West_BFL,HAL_I
B1002,BFL,EPS.1C.G1,EPS1C,Filipes,PD25-2,61.69,148,13.48,228.4745763,0.1982,0.059,90.74315515,406,12.5,Filipes_BFL,FIL
B1003,BFL,HAL.2.G1,HAL2,CenTex,PD4-30,6.29,51,6.55,224.3150685,0.0996,0.0292,93.36870027,607,13,CenTex_BFL,HAL_I
B1005,BFL,PAJ.17.G1,PAJ17,Sym,PD3-21,60.09,189,5.51,242.7312775,0.0646,0.0227,88.9596603,477,19.5,Sym_BFL,HAL_II
B1006,BFL,ABI.1.G3,ABI1,CenTex,PD10-1,35.59,244,4.95,248.7437186,0.0613,0.0199,92.41071429,414,11.5,CenTex_BFL,HAL_I
B1007,BFL,COM.12.G2,COM12,TexMex,PD8-21,45.49,202,4.81,189.3700787,0.0773,0.0254,93.51351351,447,11.5,TexMex_BFL,HAL_II
B1008,BFL,SPJ.2.G2,SPJ2,CenTex,PD4-21,102.69,257,8.72,215.308642,0.1224,0.0405,93.38654504,444,13,CenTex_BFL,HAL_I
B1009,BFL,HWY.1.G1,HWY1,West,PD18-2,6.89,52,5.9,231.372549,0.0807,0.0255,94.52054795,457,11,West_BFL,HAL_I
B1010,BFL,HAM.1.G1,HAM1,TexMex,PD18-3,21.19,97,3.87,235.9756098,0.0486,0.0164,93.06358382,312,9,TexMex_BFL,HAL_II
B1011,BFL,SAN.9.G1,SAN9,TexMex,PD18-4,43.39,261,3.74,292.1875,0.047,0.0128,94.21487603,394,11.5,TexMex_BFL,HAL_II
B1012,BFL,AWR.1.G1,AWR1,Filipes,PD10-2,129.39,170,8.92,226.9720102,0.1215,0.0393,96.70588235,385,12,Filipes_BFL,FIL
B1013,BFL,BEX.14.G1,BEX14,CenTex,PD10-3,123.69,279,8.89,225.0632911,0.1224,0.0395,93.77828054,457,12.5,CenTex_BFL,HAL_I
B1014,BFL,KER.10.G1,KER10,CenTex,PD18-5,52.09,239,4.67,227.804878,0.0639,0.0205,93.93939394,467,16.5,CenTex_BFL,HAL_I
B1015,BFL,SPJ.2.G2,SPJ2,CenTex,PD4-22,81.49,184,10.31,199.8062016,0.1446,0.0516,91.8065153,484,11.5,CenTex_BFL,HAL_I
B1017,BFL,CRC.1.G1,CRC1,West,PD5-27,53.69,200,5.38,245.6621005,0.0788,0.0219,96.27749577,377,12.5,West_BFL,HAL_I
B1018,BFL,GNH.10.G2,GNH10,Sym,PD2-21,139.59,250,8.78,232.8912467,0.1158,0.0377,90.49826188,461,15,Sym_BFL,HAL_II
