FIL2,HAL2
NA,PhHAL.1G000500
NA,PhHAL.1G004800
NA,PhHAL.1G004900
NA,PhHAL.1G005000
NA,PhHAL.1G008700
NA,PhHAL.1G030200
NA,PhHAL.1G036000
NA,PhHAL.1G036600
NA,PhHAL.1G037400
NA,PhHAL.1G038100
NA,PhHAL.1G038200
NA,PhHAL.1G039800
NA,PhHAL.1G039900
NA,PhHAL.1G041200
NA,PhHAL.1G041500
NA,PhHAL.1G044100
NA,PhHAL.1G044500
NA,PhHAL.1G044600
NA,PhHAL.1G045100
NA,PhHAL.1G045300
NA,PhHAL.1G048900
NA,PhHAL.1G050700
NA,PhHAL.1G051000
NA,PhHAL.1G057100
NA,PhHAL.1G057700
NA,PhHAL.1G058100
NA,PhHAL.1G058300
NA,PhHAL.1G058700
NA,PhHAL.1G059400
NA,PhHAL.1G063200
NA,PhHAL.1G069300
NA,PhHAL.1G069800
NA,PhHAL.1G075500
NA,PhHAL.1G075900
NA,PhHAL.1G076000
NA,PhHAL.1G076100
NA,PhHAL.1G076300
NA,PhHAL.1G078000
NA,PhHAL.1G081100
NA,PhHAL.1G086700
NA,PhHAL.1G089100
NA,PhHAL.1G089700
NA,PhHAL.1G092300
NA,PhHAL.1G093200
NA,PhHAL.1G095000
NA,PhHAL.1G097200
NA,PhHAL.1G098400
NA,PhHAL.1G099200
NA,PhHAL.1G099500
NA,PhHAL.1G100000
NA,PhHAL.1G101700
NA,PhHAL.1G105200
NA,PhHAL.1G106700
NA,PhHAL.1G108600
NA,PhHAL.1G109000
NA,PhHAL.1G109200
NA,PhHAL.1G111900
NA,PhHAL.1G115200
NA,PhHAL.1G117800
NA,PhHAL.1G118500
NA,PhHAL.1G120800
NA,PhHAL.1G120900
NA,PhHAL.1G121700
NA,PhHAL.1G122100
NA,PhHAL.1G123500
NA,PhHAL.1G126400
NA,PhHAL.1G127500
NA,PhHAL.1G130600
NA,PhHAL.1G130900
NA,PhHAL.1G131600
NA,PhHAL.1G132300
NA,PhHAL.1G139100
NA,PhHAL.1G143300
NA,PhHAL.1G146400
NA,PhHAL.1G147800
NA,PhHAL.1G149000
NA,PhHAL.1G151200
NA,PhHAL.1G153000
NA,PhHAL.1G155400
NA,PhHAL.1G161900
NA,PhHAL.1G164300
NA,PhHAL.1G164800
NA,PhHAL.1G165500
NA,PhHAL.1G165600
NA,PhHAL.1G167000
NA,PhHAL.1G169300
NA,PhHAL.1G169500
NA,PhHAL.1G169600
NA,PhHAL.1G169800
NA,PhHAL.1G169900
NA,PhHAL.1G170100
NA,PhHAL.1G170300
NA,PhHAL.1G170400
NA,PhHAL.1G171800
NA,PhHAL.1G173100
NA,PhHAL.1G173900
NA,PhHAL.1G174400
NA,PhHAL.1G176900
NA,PhHAL.1G177000
NA,PhHAL.1G178500
NA,PhHAL.1G178600
NA,PhHAL.1G179700
NA,PhHAL.1G182100
NA,PhHAL.1G182500
NA,PhHAL.1G182600
NA,PhHAL.1G185400
NA,PhHAL.1G193700
NA,PhHAL.1G194600
NA,PhHAL.1G211100
NA,PhHAL.1G214800
NA,PhHAL.1G224900
NA,PhHAL.1G225000
NA,PhHAL.1G226200
NA,PhHAL.1G229600
NA,PhHAL.1G231800
NA,PhHAL.1G231900
NA,PhHAL.1G233100
NA,PhHAL.1G233300
NA,PhHAL.1G233400
NA,PhHAL.1G237000
NA,PhHAL.1G239700
NA,PhHAL.1G240700
NA,PhHAL.1G243500
NA,PhHAL.1G244100
NA,PhHAL.1G245400
NA,PhHAL.1G248700
NA,PhHAL.1G252300
NA,PhHAL.1G253000
NA,PhHAL.1G254200
NA,PhHAL.1G254400
NA,PhHAL.1G254700
NA,PhHAL.1G254800
NA,PhHAL.1G256600
NA,PhHAL.1G260000
NA,PhHAL.1G265600
NA,PhHAL.1G266700
NA,PhHAL.1G269000
NA,PhHAL.1G274000
NA,PhHAL.1G283100
NA,PhHAL.1G283500
NA,PhHAL.1G291800
NA,PhHAL.1G292000
NA,PhHAL.1G294900
NA,PhHAL.1G295200
NA,PhHAL.1G295400
NA,PhHAL.1G296800
NA,PhHAL.1G298200
NA,PhHAL.1G300300
NA,PhHAL.1G300400
NA,PhHAL.1G300500
NA,PhHAL.1G300700
